game,review_text,review_date,review_title,author,a
Distant Worlds: Universe, I knew I was taking a risk when buying this game considering that there was no guarantee that it would run on Linux but the results were far worse than expected. It appears that the game would be great if it could run. It includes a manual and modding guide in the game directories which is commendable. The manual describes the game mechanics and what I ve read seemed to indicate that it could be very enjoyable but the damn thing just won t run. I had checked the winehq database and it seems that earlier version would have probably worked until they apparently changed something in the graphics engine. Then again it wasn t supposed to run on my system so I considered to be my responsibility to put an effort to get it to run. However the effort ended up in disappointment when I eventually decided to take a virtual machine with a pristine windows 7 in order to run it natively. After successfully installing it it would still not run. The game launcher works correctly but when you order it to run the game it will load for a while and then simply shut down without displaying anything. At that point I would consider it a fault in the game (error messages and logs exist for a reason). Failing to run in its own native (if virtual) environment is certainly a problem and failing to report whatever error condition is preventing it from running is worse. So far I have not found a way of launching the game. I gave my best and failed but the game did not help either. I m still holding to it in hopes of eventually getting it to run. Maybe then I ll give it a more deserving rate. , October 10 2018, I knew I was taking a risk when buying this game considering that there was no guarantee that it would run on Linux but the results were far worse than expected,decker,a
Space Rangers HD: A War Apart, Played it for days when was younger. Totally installing now , December 16 2017, Played it for days when was younger,roth,a
My Memory Of Us, My Memory of Us ?? o primeiro jogo do est??dio polon??s Juggler Games que tem como objetivo construir uma narrativa acess??vel para diferentes idades de um momento sombrio da hist??ria humana: o Holocausto judeu e a invas??o nazista da Pol??nia. Para isso My Memory of Us adota a liberdade de criar um cen??rio fant??stico em que os soldados foram substitu??dos por rob??s e grandes m??quinas cuidam da fiscaliza????o e transporte das pessoas consideradas diferentes. Essa diferen??a vale ressaltar ?? marcada pela cor vermelha em uma decis??o inspirada da dire????o de arte que ajuda o jogo a ultrapassar o contexto hist??rico espec??fico que lhe serve de inspira????o e se posicionar contra qualquer tipo de discrimina????o. Com cen??rio em preto e branco cortados pelo uso pontual da cor vermelha My Memory of Us faz tamb??m um excelente trabalho em desenvolver quebra-cabe??as ao longo de suas quatro horas de jogo. Infelizmente com controles desnecessariamente complexos para determinadas a????es e uma movimenta????o pouco fluida ?? f??cil ver a imers??o ser quebrada em se????es que exigem uma aten????o direcionada aos controles do jogo. Apesar desses problemas My Memory of Us ainda ?? extremamente relevante para a produ????o indie principalmente por sua capacidade de criar uma vers??o infantil de um dos piores momentos da hist??ria humana. ------------------------------------------------------------------ Para ler a resenha completa acesse: https://falange.net/resenha-my-memory-of-us/ , October 18 2018, My Memory of Us ?? o primeiro jogo do est??dio polon??s Juggler Games que tem como objetivo construir uma narrativa acess??vel para diferentes idades de um momento sombrio da hist??ria humana: o Holocausto judeu e a invas??o nazista da Pol??nia,hester9782,a
The Escapists: The Walking Dead, Good game in the spirit of the Escapists (slightly easier though which is a shame). One annoying thing is the Merchant bug: you try to buy something it doesn t seem to work so you press Esc to find out that you can t do anything at all the game is frozen. Save often which kinds of defeat the purpose of staying up at night and waste one night. Maybe but I doubt it there will be an update to fix this. Other than that the game is enjoyable and the mix with the Walking Dead series works perfectly. Fans of the two will find this to be a great game. , March 10 2018, Good game in the spirit of the Escapists (slightly easier though which is a shame),santos2006,a
Toonstruck," I don t really know how to explain Toonstruck to someone who hasn t played it before. The easiest thing to say is ""Imagine a Roger Rabbit video game but not the Roger Rabbit video game that actually exists."" But it s really more ""Imagine if Cool World wasn t a commercial and critical flop and got a video game."" And I really do think Cool World is the closer comparison. Stuff just happens for no real reason. It s suprisingly graphic (the corrupted barn scene comes to mind). And it really doesn t make any sense at all when you think about it. For example if Drew recognizes Flux and Fluffy wouldn t that imply he made all the inhabitants? But if he did why doesn t he recognize anyone aside from those two? Regardless this game is pretty much the game I think of when I think of a cult classic. It has fun writing puzzles that you will NOT complete without a walkthrough and sultry hypno furries. What also caught me off guard is just how star-oriented this game is. I mean everyone knows about Christopher Lloyd but you also got Ben Stein Dan Castellaneta Rob Paulsen (who voiced Bubsy among less important characters) and even Tim Fucking Curry. tl;dr if you want a high-brow smartly written adventure game this may not be for you. But if you have about five-ish hours to spare a walkthrough on standby and a thing for animation I d say go for it. wow that was pretentious. ", October 26 2018, I don t really know how to explain Toonstruck to someone who hasn t played it before,garrett9404,a
Army Men II, J ai vraiment ador?? ce jeu. Ce qui ma plus c est cette atmosph??re La bande son est juste g??nial. I really loved this game. What s more this atmosphere The soundtrack is just great. , June 12 2018, J ai vraiment ador?? ce jeu,morrison,a
Samorost 3 Soundtrack + Art Book, Regardless of one s thoughts on the duration of the game and its experiental gameplay the soundtrack is simply gorgeous. I find it to be one of the best game soundtracks from over the last several years filled with interesting rhythms hummable melodies and (even!) grooves. Throw in some unusual instrumentation and you are easily reminded that in a game without words the music MUST carry all sense of emotion and feeling that you draw out of that game. This album does it with brio. , October 19 2017, Regardless of one s thoughts on the duration of the game and its experiental gameplay the soundtrack is simply gorgeous,shepherd,a
Return Of The Obra Dinn, I had more fun with this game than with most AAA games i played this year. Don t let the visuals fool you once you get immersed in the plot you ll forget the game is monochromatic. Not once i had difficulties to recognize what the game wanted me to see. But i m also falling into the trap: limiting this game to it s unique look. Return if the Obra Dinn offers an intriguing gameplay that stands on its own. Only thing that I disliked was that i could t modifiy the controls of the game. I m a lefty and i hate being forced to use WASD however that is not a thing that would lower my rating , November 3 2018, I had more fun with this game than with most AAA games i played this year,leblanc4023,a
Hot Tin Roof: The Cat That Wore A Fedora, I bought Hot Tin Roof on a whim when it was on sale. I didn t expect much but as soon as I played it I immediately fell in love with the Noir style and the funny &amp; charming characters. Gameplay wise it s a simple puzzle/mystery game with a fair bit of platforming to be done. Sadly the controls are rather janky and thus making the platforming sections a painful experience for the most part. To solve puzzles you have different ammo abilites at your disposal like grappling hooks and torches. The process of changing between ammo is pretty darn tedious though. Each time you have to go into the gun menu change every single bullet individually and then go back into the game. And worst of all the game doesn t pause when changing ammo so if you re for instance on a conveyor belt you will slowly glide to your death. It doesn t help that the save points are incredibly sparse. I kept falling into fire pits dying reloading and having to do every single jumping &amp; lever pulling puzzle all over again. Groan. Once I reached the Gum Factory I just plain gave up one the game altogether. I honestly don t understand why this game has a health bar to begin with. There are no enemies to fight whatsoever only environmental damage that really didn t need to be there at all. Another aspect that will get on your nerves quickly is the lack of any kind of map. Especially in the underground sections it would have helped a great deal if I knew where the heck I was going and where the heck I was supposed to go in the first place. I don t wanna hate on the game I did enjoy it in parts but there a lot of little things that could have been fixed easily to make it less...well annoying. While I would still recommend Hot Tin Roof to lovers of puzzle platformers and games with a good sense of humor be warned that it will seriously try your patience at times. (Also a warning to gamepad users the game didn t work properly with my XBox One controller. It worked fine with my old Xbox 360 gamepad though.) , September 21 2016, I bought Hot Tin Roof on a whim when it was on sale,gallegos,a
Legacy Of Kain: Defiance, i played this series when i was young and i was curious...guys this game is made for controller if you play this with keyboard is really awful....don t buy it cause they could implemented controller support and with mouse and keyboard is not playable at all....just my opinion. , September 24 2018, i played this series when i was young and i was curious,galloway9563,a
Neighbours From Hell Compilation, This game is okay as a breather between other heavy weight games but on its own it does not motivate me to play it or to finish it. It does not keep me interested till the end. It is just too repetitive to put it simply. Initially it looked promising as some kind of evil mischief simulator; but eventually it revealed itself as just an extremely unrealistic and artificial time based puzzler. The worst part of the game design is that you can t even enjoy looking at the neighbor suffering your traps if you want to aim for the highest scores. Near the end it becomes a chore and a bore. , April 24 2017, This game is okay as a breather between other heavy weight games but on its own it does not motivate me to play it or to finish it,atkinson1593,a
Ember, 11 hrs in review and I m trying to figure out if I want to continue. Graphics are ok colorful and the characters are well done but on the landscape its a bit hard to see items or to tell if an area is accessble. The story I find interesting and I do enjoy the exploration finding lore books interacting with NPCs the quests are different from fetch quests and offer some challenge in areas others are easy filler ones. The sound track is very good orchestrated and lovely to hear while playing. the banter from your companions is fun at first then you realize how short of a loop they are on and it gets old. All that is pretty enjoyable its easy to get into no huge learning curve easy interface and inventory. Whats getting me down is the looting. You cant see actionable loot even dead npcs unless you are very close and have the  always icons ontoggled. items will then highlight if you mouse over them. It does a key you can use to display items but once again you have to be close to have your mouse hover over it and display it. Of course they decided that when you use that key all action is paused so you cant even move and search at the same time. Add in a weirdly flat and yet cluttered landscape which makes it hard to see items and you have to click the hovered name not the object to loot. Its irritating. Combat is ok but uninteresting. You only have 4 stats to level up all skills are held in gear you find or craft. So combat is attacking with whatver skills your weapon has up to 3? which use up energy. When energy is spent you can take a potion but basically thats it for your skills its then a smash fest. To attack you have to drag lines to enemies to direct who does what who takes what who heals who. so back to my reveiw am I going to continue playing this? not sure im bored theres no skill tree to level or look forward to meh story loot and combat. I may the price is right for this mildly entertaining game. , October 13 2018, 11 hrs in review and I m trying to figure out if I want to continue,mcneil,a
Grim Dawn, Pro: It s like Diablo Con: It s like Diablo but with nothing new , November 1 2018, Pro: It s like Diablo Con: It s like Diablo but with nothing new ,rivera7438,a
Unholy Heights, Looks like a Flash game. Cute decent depth in gameplay a hybrid of 2D Tower Defence and Hotel Sim of sorts. I hope the devs makes more games... That aren t visual novels. English translation could use some work. , March 21 2018, Looks like a Flash game,white169,a
Caladrius Blaze, There is a reason why no in-game footage is shown on the store page. For a start the game is locked to 720p resolution and as there are no in-game settings to change you are stuck with it. The sheer amount of screen tearing is astonishing to the point of disbelief and even forcing V-Sync on through your graphics card directly is not going to fix it. So prepare to have your eyes broken after 3 minutes of game play. I now fully understand why people avoid games ported to PC by H2 Interactive because Caladrius certainly shows how lazy the company clearly is. They honestly don t care about the player and their QA department is clearly non-existent. I bought this game on Steam during a sale for ??10 and it still feels like daylight robbery. Avoid this absolute trash and anything else that H2 are involved with as you will be left bitterly disappointed. , June 18 2018, There is a reason why no in-game footage is shown on the store page,dale784,a
Seven Kingdoms 2 HD, I love the older games Caesar 3 AOE and all of that stuff. They are great. This game is the worst Pile Of Crap I have ever played. There are tutorials that tell you absolutely nothing you lose the tutorials after you have wasted hours trying to do what little tidbits you were told to do in the tutorial lessons. There is not strategy you gain nothing because you have no idea what to do. I have no idea what game the people giving the positives received but it must be far better than this trash. Is there a goal? I dunno what little you are told is so full of holes you have no idea how to get the rest of the game going. Let me toss you a short bolt build me a full blown 350 Chevy engine with this unspecified bolt and have it running by dark. BTW haha the bolt went to a cheap plastic chinese toy just in case you actually knew every bolt that belonged in a 350 Chevy engine... Maybe if there were directions that told you how the non standard game play here would work you would have an idea. Did I get a tutorial for another game? Is this a joke or something? Wow. Not funny. , May 14 2018, I love the older games Caesar 3 AOE and all of that stuff,cantu5338,a
Feist Soundtrack, J h??site encore ?? acheter le jeu mais ne suis pas int??ress?? par l achat d une bande son en MP3. Vous utilisez encore ce codec de pi??tre qualit?? s??rieusement ? Je suppose que le jeu lui m??me l utilise pour sa bande son... Nous sommes en 2015 : Le minimum aurait ??t?? de l OGG Vorbis ou bien mieux : du FLAC. , September 26 2015, J h??site encore ?? acheter le jeu mais ne suis pas int??ress?? par l achat d une bande son en MP3,brennan,a
Figment, A very chill laid back game. If you re looking for a short game with catchy tunes and cute dad jokes then I would recommend this. Combat is clunky and hit detection gets kinda weird sometimes but the game is very generous with the autosaves so it doesn t become much of an annoyance. , December 12 2017, A very chill laid back game,pickett5300,a
King Arthur S Gold," Upon running this program a downloader appears to download unknown amount of unknown data from an unknown site...it says ""press escape to cancel"" which does nothing...very virusy if you ask me... ", July 6 2018, Upon running this program a downloader appears to download unknown amount of unknown data from an unknown site,caldwell,a
Alone In The Dark: The New Nightmare, As much as I would have loved to play an old classic. I couldn t for the life of me get it to run. I tried all suggested support notes. Tried running the game in all types of compatibility mode and installed all sorts of codecs and patches but to no avail it did not function. If you can try and find an original copy of this somewhere for Psone I highly recommend it because unfortunately it will not run on everyone s computer. Good luck future player ! , September 22 2018, As much as I would have loved to play an old classic,vang,a
Tower Of Time, Let me say that the type of this game is not one I really prefer in an RPG so that will colour my review. In the end I did have a fair bit of enjoyment from it but I got tired of it during my second playthrough while e.g. Divinity O.S. 2 I played 7 times through. Then again it is a lot cheaper than a full F-RPG so that compensates. pros: - stable (as long as you don t have the 64-bit version of Nikon ViewNX2 installed) - balanced choices for characters and equipment - pretty good story although with some gaps - equipment variation and customisation - good variation between levels cons: - no relevant story choices - very linear maps - no free exploration - non-rotating isometric view - no  highlight interactiblesoption - combat is more about not making mistakes than e.g. brilliant combo s , October 22 2018, Let me say that the type of this game is not one I really prefer in an RPG so that will colour my review,keller4227,a
Zombie Shooter 2, the balance is off the pacing is off the guns aren t categorized correctly the game is practically black and white and to top it all it s looks like they forgot to create textures for the enemies. extremely disappointing compared to alien shooter 2. , August 12 2018, the balance is off the pacing is off the guns aren t categorized correctly the game is practically black and white and to top it all it s looks like they forgot to create textures for the enemies,snider,a
Chaser," Chaser is a blant overlong poorly executed Rip-Off of ""Total Recall"" streched out into infinity. AI and movement are a pain the gameplay is repetitive and boring the story and characters are a joke. The leveldesign is a complete mess. If you are interested in Niche-FPS from Eastern europe developers try out ""Vivisector"" ""You are empty"" or ""Hellforces"". But avoid Chaser at all costs. And if you wan??t to give Cauldron the studio behind this attrocity a second chance then get a copy of ""Gene troopers"" which makes up for the pain and dullness of this here title. ", October 10 2018," Chaser is a blant overlong poorly executed Rip-Off of ""Total Recall"" streched out into infinity",cunningham,a
Titan Quest Anniversary Edition, I ve never reviewed a game before but I m livid. The installer for this game managed to completely break the display for Windows 10. My screen s colors became washed out to the point that I could not read any text in Windows. I tried my best to restore the settings prior to installing the game but I could not read anything on the screen - even manually adjusting my monitor s settings couldn t resolve the problem. Ultimately I had to perform a system restore losing tons of data - and several hours from my weekend. So buyer beware: installing this game may bring you far more grief than enjoyment. , October 27 2018, I ve never reviewed a game before but I m livid,yang,a
Oriental Empires, My personal litmus test for games like these is whether diplomacy does anything (or is just the place where the Declare War button lives). This game didn t pass. To be fair it does add a few ideas of its own -- but only superficial ones. , July 15 2018, My personal litmus test for games like these is whether diplomacy does anything (or is just the place where the Declare War button lives),mcintosh,a
Stellaris: Apocalypse," This expansion provides very much needed end-game content. I loved being able to destroy worlds and build capital ships. Being able to include large ion cannons on starbases was loads of fun. It was also great to have special ""edicts"" I could spend unity on once everything else has been unlocked. The mauraders are a mid-game crisis. They are impossible to deal with if you are one of the non-diplomatic agressive races. They are incredibly overpowered and weren t too much fun to play with. I usually turn them off. You can also play an under-powered maurader with the ""Barbaric Despoiler"" which allows you to steal pops from other planets. Fun in theme but not very useful. Same with choosing a Post-Apocalyptic race. Fun theme not really practical. There are also a few new Ascension perks. One lets you kidnap enemy pops (great theme you ll never use it) one that gives you increased sensor range and prevents other civs from reverse engineering your tech (multiplayer maybe?) and the third allows you to build your ""Death Star"". Parts of it I love and add great dynamics to a great game. The rest I ll turn off. ", October 17 2018, This expansion provides very much needed end-game content,hale5812,a
Unepic, En lo personal no soy fan del idioma espa??ol de Espa??a pero con este juego me encanto mucho lo prefiero sobre cualquier otro idioma es mas si lo pusieran en latino seguiria jugandolo en espa??ol/Espa??a xD en fin la jugabilidad es algo tosca hasta que te acostumbras el ambiente la musica juega muy bien su papel los dialogos hacen referencias a varios juegos como un buen friki xD el inventario es basto tienes varias especialidades y magias un juego sencillo y muy bonito que debes de tener en tu biblioteca aun no lo acabo llevo poco mas de 8 horas de juego y tengo un 34% avanzado y eso que compre el juego ya hace varios a??os xD en fin comprenlo lo vale :D. , November 1 2018, En lo personal no soy fan del idioma espa??ol de Espa??a pero con este juego me encanto mucho lo prefiero sobre cualquier otro idioma es mas si lo pusieran en latino seguiria jugandolo en espa??ol/Espa??a xD en fin la jugabilidad es algo tosca hasta que te acostumbras el ambiente la musica juega muy bien su papel los dialogos hacen referencias a varios juegos como un buen friki xD el inventario es basto tienes varias especialidades y magias un juego sencillo y muy bonito que debes de tener en tu biblioteca aun no lo acabo llevo poco mas de 8 horas de juego y tengo un 34% avanzado y eso que compre el juego ya hace varios a??os xD en fin comprenlo lo vale :D,acevedo,a
Parkitect, I m so disappointed. The game seems like return to my childhood when I play in Theme Park. But it s so laggy on my MackBook. There are so simple graphic i don t build anything in my park it was just empty. I made lowest graphic settings and it still lagged. I play for example in Heroes of the Storm in my Mac perfectly. How could optimisation be so bad even for beta? Sorry I just refund it. , July 28 2018, I m so disappointed,ramsey3585,a
Pathologic Classic HD," Pathologic is a game about games and a game about theater - about /playing a role/ in both senses of that word - which asks you the player to embody one of three key parts in the grim play Ice-Pick Lodge has created for you represented by three different healers with three different philosophical approaches to life and medicine in stopping a plague in a small town in the great grass steppe of Eurasia. Each player character has a wholly different part to play than the other two with non-player characters of different classes and social strata reacting differently to each protagonist. The many and sundry characters of the town are so memorable I think I ll never forget some of them as each has a distinctive voice and personality and philosophy which comes through rather brilliantly in the excellent new translation presented by this ""Classic HD"" version. Pathologic is often called a horror game although I think it is most accurately described as an adventure - there is a truckload of dialogue and walking around town and talking to people are the core mechanics - with a first-person perspective and survival mechanics wherein everything is stacked against you and any upper-hand you might transiently have can be quickly worn away on a bad in-game day. NPCs will lie manipulate and conceal information; prices for vital supplies will spike; and the town will consistently become ever more dangerous to traverse day by day until you find yourself desperately running through an orchestrated simulation of chaos in its latter third. It is forbidding difficult and even oppressive yet unimaginably rich and rewarding thoughtful in a way that video games rarely ever are if you can get used to its scrappy combat and occasionally poor quest design. ", June 9 2018, Pathologic is a game about games and a game about theater - about /playing a role/ in both senses of that word - which asks you the player to embody one of three key parts in the grim play Ice-Pick Lodge has created for you represented by three different healers with three different philosophical approaches to life and medicine in stopping a plague in a small town in the great grass steppe of Eurasia,willis754,a
Influx, This could be a very nice game but for me it s disappointing. Graphics have a nice style but screenshots raised more expectations. Textures aren t very sharp even at 1280x1024. Other Gamepads than Xbox 360 Pad won t be supported well a wrapper like X360CE ist recommended. The biggest problem are the unsolved bugs. I can t complete a level because I get a white screen. This bug is well known (see Steam forums) and there is a beta patch for the Steam version but nit for this one. And there will never ever come a patch to GOG. I wrote to the developers one year ago but didn t get any answer. There is no story in the game so there really isn t anything that gives you a reason to buy and play this game if you don t like gambling... , July 15 2015, This could be a very nice game but for me it s disappointing,heath,a
Samorost 2, Samorost 2 made me smile. It has some really fun animations and is really enjoyable to play. It sadly is too short and I dislike that this game doesn t scale with your monitors resolution. , October 20 2018, Samorost 2 made me smile,baird5305,a
Machiavillain, poor tutorial tells me to tell my minions to cut wood but when I do so nothing happens. Not even 30 seconds of gameplay. Completely broken :(. , August 12 2018, poor tutorial tells me to tell my minions to cut wood but when I do so nothing happens,dejesus3738,a
Clustertruck, Firstly the game rund very vell on my machine and the engine feels really smoothe when one needs to make fast turns. I think that my biggest complaint would be that this game feels pretty barebones when compared to other platforming games but overall I think where this shines is the first person 3D gameplay. As for the gameplay I thought it was a pretty good idea that was executed well. While most of the levels weren t too difficult to me (I am mediocre at best at platformers) there were a good amount of difficult levels that required me to replay them a few times more than I am proud to admit. Although most of the levels were pretty good with memorable parts there were a few levels that are completely forgettable. Although this game does not have a level editor (it would be fantastic if it did) the developer has released bonus levels post launch that to my knowledge were free to me. I picked this game up on sale a while back and I thought it was definintely worth it. , March 23 2018, Firstly the game rund very vell on my machine and the engine feels really smoothe when one needs to make fast turns,gilliam6887,a
The Mummy Demastered, A game with a solid gameplay nice story(for a metroidvania) and correct Arts I would gladly give it a good 4/5 if not for the support. My game is barely playable (crash every 5-30mn) and after the support asked for my dxdiag they just stopped answering. , September 6 2018, A game with a solid gameplay nice story(for a metroidvania) and correct Arts I would gladly give it a good 4/5 if not for the support,buck,a
Gemini Rue, Geminie Rue est de ces point  n click un peu ?? part. Un jeu qui nous propose une petite tranche de vie de ses personnages. Ils existaient avant notre arriv??e et ils continueront apr??s. On ne les suivra que le temps d une histoire plong??e dans une ambiance qui ravira les fans de science-fiction/cyberpunk. Une sorte de mix entre Cowboy Bebop et Blade Runner... Pour ce qui est du jeu en lui m??me: si l on aime les graphismes plein de pixels on aimera s??rement ceux de Gemini Rue. Les tableaux regorgent de d??tails c est vraiment tr??s jolis. L histoire avec son lots de rebondissements et ses personnages in??ressants pour peu que l on se laisse embarquer au d??but aucune raison de s en plaindre. Le seul point un peu n??gatif au tableau c est son gameplay et encore... Gemini Rue aura tent?? d insufler un peu d originalit?? dans un genre tr??s convenu question gameplay et il peut ??tre source de frustration chez certains joueurs... Mais bon le jeu en vaut largement la chandelle. Gemini Rue un jeu qui sent bon le cyberpunk et qui se pose clairement en oeuvre majeure du jeu d aventure. , October 27 2018, Geminie Rue est de ces point  n click un peu ?? part,murray3662,a
Tempest - Jade Sea," Honestly I started many of my reviews about this game and its DLCs with the phrase ""if the aspects could be rated seperatelly..."" and now I have to do it again. Nothing changed only new contents were added. A whole new world ships equipments quests monsters and whatever I haven t seen yet. Everything nicely match the quality of the core game as well the age the game is set. Since there are a bunch of screenshots on the store page I will not spoiler even a little by saying the new contents comming from far east. The title stands for the fact everything you will have with this DLC should be the core content of the game. With the two DLCs it really feels like a standard game not just an earily access one. Though what it lacked originally it lacks now. No DRM free multiplayer no LAN no option to turn boarding on-off crew lose moral if you not fight for a long time or escape from battle. As far as I ve encountered them the A.I. of the new world s faction is more refined. Now they make full use of speed can calculate range and not just trying to close distance but the NPCs are still rather simple. The new ships help them a lot since even though there are battle variants most of them are more speed focused than the classic ones. I would love to see more contents later but this is definitelly the right way. ", February 16 2018," Honestly I started many of my reviews about this game and its DLCs with the phrase ""if the aspects could be rated seperatelly",zamora,a
In The Shadows," I had the pleasure of streaming this game for the GOG Twitch channel and was pleasantly surprised with the overall experience. I found it hidden among the list of ""new releases"" for that week and being a fan of puzzle platformers I decided to give it a shot. What immediately drew me to this game was the wonderful visuals and art style. Drawn in a retro 8-bit style this game does a great job with lighting color and atmosphere to provide a truly engaging story presented with fairly intuitive mechanics. As you progress through the game (which takes place somewhere between the main protagonist s dreams and reality) you solve various environmental puzzles in order to collect ""stars"" that were stolen from your childhood bedroom by monsters which lurk in the dark. Using your ability to manipulate light-sources you eventually learn how to use these ""monsters"" to your advantage and progress through the levels. These techniques range from a simple flip of a light switch all the way through to manipulating the time of day. There is an absolutely beautiful soundtrack by  Lombusthat perfectly compliments the game s rich and emotional atmosphere and helps contribute to the gamesoverall ""chill"" atmosphere. It s almost criminal that this game has not gotten more exposure and recognition post-release considering how good it is! The only reason I did not give it 5 stars is due to a few lingering bugs. However the game s developer joined me during GOGs launch stream and promised these would be fixed. He also provided wonderful insight into the game s development. It s a wonderful effort for virtually a one-man team! If you are a fan of beautifully designed atmospheric puzzle platformers retro design and emotional storytelling I strongly recommend this game! It truly is a gem! ", October 25 2017, I had the pleasure of streaming this game for the GOG Twitch channel and was pleasantly surprised with the overall experience,hayes2933,a
The Guest, Escape a hotel room. Endure the voice acting. Honestly the game is pretty terrible. Movement feels weird despite the fps being above 60. Visuals do some weird stuff that just feels uncomfortable. You can pick up a LOT of items and most of them will just be trash cluttering your inventory. New items get added at the back instead of the front. Sound is weird music from a device being way more quiet with your back turned to it. This seems to be determined by proximity; You can hear stuff perfectly through the wall at at least one point due to it being close to the object making the sound. The very low rating is mostly due to one specific puzzle requiring pressing notes in the order a music box plays. You have three tries until this resets. This puzzle is evil. The twist at the end was alright not worth the two hours getting there though. Recommended for masochists. , June 14 2018, Escape a hotel room,campos,a
Gothic 3: Forsaken Gods Enhanced Edition, Ta gra jest ??mieszna na pierwszy rzut oka jest to okrojona wersja gothica 3 bez fabu??y oraz pozbawiony klimatu gdy?? ten nowy ekwipunek wygl??da jak wyci??gniety z jakie?? chi??skiej czy tam japo??skiej bajki. Gra tnie si?? znacznie bardziej od gothica 3 ??e a?? nie idzie gra?? nie wiem jak mo??na by??o co?? takiego wypu??ci?? , June 14 2018, Ta gra jest ??mieszna na pierwszy rzut oka jest to okrojona wersja gothica 3 bez fabu??y oraz pozbawiony klimatu gdy?? ten nowy ekwipunek wygl??da jak wyci??gniety z jakie?? chi??skiej czy tam japo??skiej bajki,parker9245,a
Battle Brothers, Played for some 200h on Steam. Great game. :) , November 4 2018, Played for some 200h on Steam,compton7935,a
Saints Row Iv: Game Of The Century Edition, No Linux support which is officially available on Steam. , June 23 2018, No Linux support which is officially available on Steam,hood,a
2064: Read Only Memories," Point and click games usually aren t my bag but for whatever reason I loved this one. To address some of the complaints I ve seen yes the story is extremely linear and your choices don t matter. Yes there s not a whole lot of ""interactivity"" to the point of puzzles or what have you and no I probably wouldn t classify this as a puzzle game. That said this game engrossed me. As someone who likes to explore every nook and cranny all the flavor text on every interaction was a delight to discover. Want to use a carton of expired milk on a random NPC? Maybe you ll think better of yourself. Maybe you ll get looks of mild confusion maybe you ll have someone rant about what an asshole you are for offering them that. A lot of the depth comes not from the story but from your own exploration and interaction with the city. The game is very much what you make of it. If you just follow the story from objective to objective you won t get nearly as much as if you take the time to interact with as much as possible. (Managed to get a few game overs by exploring more than I was supposed to haha.) Take the time to talk to people and I think you ll have a grand time in Neo San Francisco. Also to touch on the content it s very easy to draw parallels between real life and the game to the point where some might find it ""preachy"" as I ve seen it described. But personally I found it a nice way to make you think about social issues in a more interactive introspective way. All in all I definitely recommend this game. ", September 13 2018, Point and click games usually aren t my bag but for whatever reason I loved this one,manning6721,a
The Messenger Ep By Keiji Yamagishi, I d like to know the bitrate since I was disappointed by The Messenger OST had 192 kbps here in GOG , October 8 2018, I d like to know the bitrate since I was disappointed by The Messenger OST had 192 kbps here in GOG ,valenzuela2316,a
Turok 2: Seeds Of Evil, Don t believe the reviews. Hours and hours of walking in gigantic mazes trying to find needles in a haystack. Horrendous game design choices. You ll spend 99% of your time aimlessly trying to find things. Would be ok in a detective game. Oh and if you beat the first level you are in a treat of riding the SLOWEST triceratops you ve ever seen in a video game. Oh and unskippable cutscenes. , October 11 2018, Don t believe the reviews,hicks9336,a
Postal 2: Paradise Lost," They ve disabled the ""mods"" tab under the ""Custom..."" option in this version. If you wish to port your mods from the Steam version to the GOG version in order to enjoy them in a DRM-free environment you are not allowed to do so. I am honestly disappointed. ", November 4 2018," They ve disabled the ""mods"" tab under the ""Custom",sanders,a
Crashlands, You re a space delivery boy with packages to deliver when your spaceship is destroyed by a disembodied floating head. You crash on the nearby planet and the game starts. First I should mention that saying crashlands is like don t starve or minecraft is misleading it is nothing like them. For one I still play don t starve and minecraft but now that I ve finished crashlands I m not gonna play it ever again and finishing it required a little stubbornness. So Crashlands gameplay is about gathering resources and killing monsters to build workstation to build better tools and weapons/armors/trinket to gather more resources and kill bigger monsters rinse repeat repeat repeat repeat kill boss move to next zone rinse repeat and again with a third zone. This game is lengthy and has a lot of NPC and quests you re in for tens of hours of playing but the more I played the less I enjoyed it. Mostly because it soon gets repetitive and the controls are kinda rough and limited fighting is about hitting and fleeing the damage zone and enemies alternate between their two attack patterns. A misclick means you re dead and too often the selected item did not trigger for some reason and the character walks in the damage zone instead and gets toast. But don t worry death is a common occurrence in Crashlands and most of the time you only lose some time. You have unlimited inventory which eliminates the need to go back to base but also means you soon have too many things in your inventory and you can only have 4 items available to use at any given time which means you often waste time going to inventory to switch from collecting resources items and trinkets to fighting items or specific bonus. Many items can be crafted (mostly useless cosmetic items) that it gets confusing. That being said Crashlands is not a bad game with interesting graphic design and story development it would have profited from better polished controls and a little less workstations and grinding. , January 11 2018, You re a space delivery boy with packages to deliver when your spaceship is destroyed by a disembodied floating head,cervantes5003,a
Ai War: Fleet Command, This game is one I probably would like if I had the time a patience for it. However it is undoubtedly a game that is pretty much limited to people that have a summer to burn. It s graphics and ship designs are so bland and mish-mashed that I bring it up even though I generally dislike reviews that put emphasis on graphics. It s just a hard game to get captivated by. It s incredibly slow tedious aesthetically dull and unlike many space games the universe feels dead. A lot of people say you should pause the game all the time to send orders etc. I don t want to play a game were I am constantly pausing to keep up. Bottom line just not an immersive game or atmosphere that takes getting Stockholm syndrome to enjoy. , May 7 2018, This game is one I probably would like if I had the time a patience for it,malone6181,a
